ppm,gender_p-value,gender_beta,gender_q-value,r2,f-test_pval,f-test_q-value
10.0,0.03211177812669119,-240.84481328186456,1.0,0.0161252155991789,0.03211177812669081,1.0
9.999449972498624,0.38794975818945165,-98.21593868528278,1.0,0.002634954290773317,0.3879497581894037,1.0
9.99889994499725,0.13369674290080827,-174.642918237524,1.0,0.007929599003461019,0.1336967429008056,1.0
9.998349917495874,0.25801699183897914,-131.04800574010818,1.0,0.004518479109876572,0.2580169918389879,1.0
9.9977998899945,0.25152010122349777,-151.56400313441537,1.0,0.0046434781635817934,0.25152010122349705,1.0
9.997249862493124,0.06861081527127084,-228.22467804824936,1.0,0.011669204309473602,0.06861081527126839,1.0
9.99669983499175,0.5182905173784645,-82.6609894296783,1.0,0.0014760528806302409,0.518290517378447,1.0
9.996149807490374,0.2420782234975522,-138.20297017548762,1.0,0.004832349288519611,0.24207822349757172,1.0
9.995599779989,0.3441326072922677,-110.0412751345147,1.0,0.003163034660477737,0.3441326072922517,1.0
9.995049752487624,0.10065805204888592,-208.19228907607786,1.0,0.009494737007644694,0.10065805204889307,1.0
9.99449972498625,0.5376175641132477,-71.9912705823785,1.0,0.0013441314500441948,0.5376175641132332,1.0
9.993949697484874,0.08655899773735619,-190.76755790216723,1.0,0.010343381387732054,0.08655899773735763,1.0
9.9933996699835,0.8765587903892993,-21.53749920640366,1.0,8.540628901010372e-05,0.8765587903895518,1.0
9.992849642482124,0.1298409631627949,206.2203071349731,1.0,0.00808887255262114,0.12984096316280014,1.0
9.99229961498075,0.9696762381175204,5.273324630683016,1.0,5.115345441120134e-06,0.969676238117439,1.0
9.991749587479374,0.8787250562872784,17.92930674803327,1.0,8.241196094771475e-05,0.878725056287151,1.0
9.991199559977998,0.03422225489038548,-234.98134919515954,1.0,0.015745686226228628,0.034222254890389166,1.0
9.990649532476624,0.037708665280067694,-236.77270913828457,1.0,0.015169078187385332,0.03770866528006968,1.0
9.990099504975248,0.11235271206365469,-160.27237454159012,1.0,0.008883509249652422,0.11235271206365012,1.0
