ppm,gender_p-value,gender_beta,gender_q-value,age_p-value,age_beta,age_q-value,r2,f-test_pval,f-test_q-value
7.873593679683984,0.06814577108209191,-17868.247780864465,1.0,0.012778637740739729,24453.228614292795,1.0,0.03270234863837995,0.009204046282776721,0.879850239627738
7.873043652182609,0.07582137727100456,-15113.1488387869,1.0,0.014328288224914264,20898.676970602042,1.0,0.031439801205329854,0.011062498234543614,0.9622497034675879
7.872493624681233,0.049834863987639366,-16228.971745160688,1.0,0.025920562431696603,18448.391732516597,1.0,0.0302608945327818,0.013132342468175249,1.0
7.871943597179859,0.04617634604326286,-18907.49008087513,1.0,0.0376761919963711,19715.64952932874,1.0,0.028528817385784833,0.01688958791704109,1.0
7.871393569678483,0.05050602248548986,-15730.539853098448,1.0,0.014888724686527804,19623.57047523433,1.0,0.03344367888198474,0.008260956203545158,0.8411692256896475
7.870843542177109,0.06894727867559332,-12803.890791390837,1.0,0.013367857609191328,17459.023457416988,1.0,0.032369764422196856,0.009661168902621739,0.9020593777093842
7.870293514675733,0.05444084263774077,-9823.616877197508,1.0,0.013051337321885409,12706.904784998811,1.0,0.03380925711958738,0.007831861100576988,0.8202320417071421
7.869743487174359,0.0524731934225661,-6755.035247223413,1.0,0.012368023919037581,8732.894517532239,1.0,0.03433279133637279,0.007255632504562092,0.8003657931378129
7.869193459672983,0.056136241849522026,-5330.362219650312,1.0,0.032969491106157774,5956.019562912654,1.0,0.02819794295556155,0.01772032879526322,1.0
7.868643432171608,0.0754670078468248,-5048.9079227949305,1.0,0.13526969906899056,4238.837957037085,1.0,0.01868620692350975,0.0699703993762542,1.0
7.868093404670233,0.06722972727665558,-6333.106532525236,1.0,0.3567433458934911,3182.0383852674445,1.0,0.01464483530961691,0.12490632019544677,1.0
7.867543377168858,0.06596102028480859,-7866.994510741407,1.0,0.5881656250020246,2310.4910913748654,1.0,0.012880930674971758,0.16073312489185415,1.0
7.866993349667483,0.0706449650783191,-9293.726051331067,1.0,0.8325457010187436,1083.9001561863804,1.0,0.011669646965454472,0.19107365250986533,1.0
7.866443322166108,0.08020604030012148,-10137.51076959662,1.0,0.9372625944993049,454.8574568084831,1.0,0.01082636031839912,0.21549011405820656,1.0
7.865893294664733,0.0754281515052824,-9677.14151792327,1.0,0.8899883979074976,750.7934331023172,1.0,0.011214623789686406,0.2038857611136517,1.0
7.865343267163358,0.07554558058208842,-7861.317641659345,1.0,0.8701339921460494,721.194365100621,1.0,0.01122872155862431,0.2034762921481854,1.0
7.864793239661983,0.1133885297422006,-5038.283000238727,1.0,0.7745379386047521,909.6336649672072,1.0,0.009116984738042566,0.2748882497717336,1.0
7.864243212160607,0.2658508031723129,-2571.0902231238438,1.0,0.6144876896184186,1162.8528129671367,1.0,0.005239090314097528,0.47680217172963846,1.0
7.863693184659233,0.5371023545721523,-1295.5151610380333,1.0,0.4774167744066611,1491.439361571077,1.0,0.003105760278966585,0.6449428080703741,1.0
7.863143157157857,0.9006569446910122,-302.2500975718342,1.0,0.26571898073654954,2697.7370211323905,1.0,0.004435502751995668,0.5343004286049235,1.0
7.862593129656483,0.7400620543628283,1079.8216313153312,1.0,0.18830329441721574,4288.125381857475,1.0,0.006549917759231749,0.3959068880324841,1.0
7.862043102155107,0.5694259992523965,2492.676620587273,1.0,0.17064192072505452,6011.708956197657,1.0,0.007840640282831601,0.3295961700672011,1.0
7.861493074653733,0.47779776068159285,3849.706396651599,1.0,0.17508875562080617,7362.865566437345,1.0,0.008350151527351857,0.3065683592640292,1.0
7.860943047152357,0.4363796985750955,4413.346538931296,1.0,0.1578734856448689,8017.881684526641,1.0,0.009263923463466495,0.2691998694869851,1.0
7.860393019650982,0.39780645042689866,4158.122145499487,1.0,0.12175406049614995,7621.247395280206,1.0,0.011064416813579725,0.20829963787213812,1.0
7.859842992149607,0.36181518178627714,3401.524084888955,1.0,0.08068773828248729,6528.271058437031,1.0,0.013787686519379783,0.14119825004181802,1.0
7.859292964648232,0.3136888545253887,2630.861406581461,1.0,0.042847167376209486,5302.81958491704,1.0,0.01811474696079285,0.0759563300364193,1.0
7.858742937146857,0.362520788429022,1748.2780104095318,1.0,0.028674916906099534,4215.581930418123,1.0,0.01985488348545361,0.05914848695075422,1.0
7.858192909645482,0.4759805431910292,1194.6706944697105,1.0,0.05732867127330174,3194.667550202207,1.0,0.014613754808351254,0.1254630673371067,1.0
7.857642882144107,0.6507919483083715,731.4803735918006,1.0,0.08436128728480483,2795.891654815357,1.0,0.011298778211608185,0.20145357922993457,1.0
7.857092854642731,0.8188189975457788,-383.11079840122255,1.0,0.11462608630612829,2644.4902316247385,1.0,0.008960572956740576,0.2810745317879667,1.0
7.856542827141357,0.5061004672518272,-1175.3445187828731,1.0,0.16199286288171916,2475.1986714747604,1.0,0.008400861607872456,0.30436579446150325,1.0
7.855992799639981,0.2773888035661094,-2028.2192987926855,1.0,0.21693100386610842,2306.2617178170603,1.0,0.009438234714243987,0.2626032209290277,1.0
7.855442772138607,0.1961198161420748,-2601.6795862431472,1.0,0.2824685478668508,2162.14904694867,1.0,0.009861589915553082,0.24724246558383045,1.0
7.854892744637231,0.18638975917693837,-2944.273574873261,1.0,0.33219365096817755,2159.205470953754,1.0,0.009380861272448526,0.26475655031340944,1.0
7.854342717135857,0.15874975528982993,-3398.845248050011,1.0,0.41781599544882897,1951.7272586626327,1.0,0.00924178205846049,0.27004948167597037,1.0
7.853792689634481,0.14665162268252455,-3777.3672544550222,1.0,0.43564316756366883,2026.1024689139936,1.0,0.00949601197872496,0.26045230939427494,1.0
7.853242662133106,0.13303431207374192,-4225.963096498718,1.0,0.4411614698753741,2163.544539814889,1.0,0.009970188562659188,0.24344808855077482,1.0
7.852692634631731,0.12559802426427039,-4648.356271507026,1.0,0.39665023265701504,2568.6205719727814,1.0,0.01070963124412061,0.21910542156353432,1.0
7.852142607130356,0.12270001008950311,-5337.487534526276,1.0,0.32042306779059476,3431.526813204288,1.0,0.011755785521101236,0.1887398268910311,1.0
7.851592579628981,0.1301452444074684,-6491.148507782083,1.0,0.3154101784039191,4300.717691027902,1.0,0.011507782177608283,0.19553697531488795,1.0
7.851042552127606,0.12856188650998895,-8863.084632405635,1.0,0.28709106966634296,6201.55783631669,1.0,0.012003375421067441,0.18218808894620017,1.0
